1.62,10,8.42,0,32.23,696295,1614704638.90368
1.62,10,8.42,0,32.23,696305,1614704638.92571
1.62,10,8.42,0,32.23,696316,1614704638.9336
1.62,10,8.42,0,32.23,696327,1614704638.93445
1.62,10,8.42,0,32.23,696337,1614704638.94006
1.62,-2.99,-3.44,0,32.23,696350,1614704638.95256
1.66,-2.99,-3.44,0,32.23,696360,1614704638.96486
1.71,97.22,70.76,0,32.23,696374,1614704638.97651
1.69,97.22,70.76,0,32.23,696384,1614704638.99068
1.63,97.22,70.76,0,32.23,696395,1614704638.99841
1.6,97.22,70.76,0,32.23,696407,1614704639.00935
1.57,-2.64,0,0,32.23,696419,1614704639.02234
1.61,0.21,-0.2,0,32.23,696431,1614704639.03376
1.73,7.16,2.59,0,32.23,696444,1614704639.04688
1.88,11.09,4.88,0,32.23,696457,1614704639.05896
2.06,13.4,5.51,0,32.23,696469,1614704639.07095
2.23,13.66,6.68,0,32.23,696481,1614704639.08287
2.41,13.47,7.59,0,32.23,696495,1614704639.09501
2.58,13.63,8.27,0,32.23,696507,1614704639.11209
2.76,13.29,9.73,0,32.23,696519,1614704639.12413
2.93,13.47,9.98,0,32.23,696532,1614704639.13666
3.1,13.22,10.88,0,32.23,696545,1614704639.14937
3.27,12.9,12.21,0,32.23,696557,1614704639.16289
3.43,12.75,12.47,0,32.23,696570,1614704639.17351
3.59,12.63,12.68,0,32.23,696583,1614704639.18582
3.75,11.89,12.9,0,32.23,696595,1614704639.19818
3.9,11.83,13.9,0,32.23,696608,1614704639.2107
4.05,11.89,14.35,0,32.23,696621,1614704639.22187
4.2,11.38,14.9,0,32.23,696633,1614704639.24543
4.34,11.35,14.87,0,32.23,696646,1614704639.26001
4.48,10.56,15.26,0,32.23,696658,1614704639.26959
4.62,10.63,15.47,0,32.23,696672,1614704639.27673
4.76,10.63,15.98,0,32.23,696684,1614704639.28844
4.9,10.8,15.74,0,32.23,696697,1614704639.30057
5.03,10.02,15.71,0,32.23,696710,1614704639.31207
5.16,10.19,15.77,0,32.23,696722,1614704639.32466
5.3,10.19,15.75,0,32.23,696735,1614704639.33707
5.43,10.47,15.63,0,32.23,696748,1614704639.34953
5.56,10.14,15.45,0,32.23,696761,1614704639.36586
5.69,9.97,15.45,0,32.23,696773,1614704639.37864
5.82,10.02,15.45,0,32.23,696785,1614704639.39083
5.95,9.97,15.48,0,32.23,696799,1614704639.40201
6.08,9.99,15.1,0,32.23,696811,1614704639.41442
6.21,10.52,14.65,0,32.23,696823,1614704639.42691
6.34,10.03,14.56,0,32.23,696837,1614704639.43927
6.47,9.86,15.5,0,32.23,696849,1614704639.45167
6.6,9.92,13.95,0,32.23,696861,1614704639.4641
6.73,9.92,14.25,0,32.23,696873,1614704639.47669
6.86,9.96,13.52,0,32.23,696887,1614704639.48901
6.99,10.03,13.65,0,32.23,696899,1614704639.50113
7.12,10.14,13.02,0,32.23,696911,1614704639.51799
7.25,10.4,13.08,0,32.23,696925,1614704639.52945
7.39,10.1,12.42,0,32.23,696937,1614704639.54148
7.52,10.03,12.47,0,32.23,696950,1614704639.55376
7.65,10.12,12.36,0,32.23,696963,1614704639.566
7.78,10.04,11.3,0,32.23,696975,1614704639.57859
7.91,10.14,11.03,0,32.23,696988,1614704639.5909
8.05,9.98,11.51,0,32.23,697000,1614704639.6033
8.17,10.08,10.89,0,32.23,697013,1614704639.61587
8.31,10.02,10.17,0,32.23,697026,1614704639.628
8.44,10.04,10.25,0,32.23,697038,1614704639.64485
8.57,10.03,9.41,0,32.23,697052,1614704639.65621
8.7,10.03,8.98,0,32.23,697064,1614704639.66853
8.83,10.02,9.34,0,32.23,697076,1614704639.68113
8.96,10.02,8.57,0,32.23,697090,1614704639.69329
9.09,10.03,8.89,0,32.25,697102,1614704639.70533
9.22,10.08,8.97,0,32.25,697114,1614704639.71756
9.35,9.98,8.29,0,32.25,697126,1614704639.73106
9.49,10.02,7.92,0,32.25,697140,1614704639.74316
